name	binaryflag	mass	radius	period	semimajoraxis	eccentricity	periastron	longitude	ascendingnode	inclination	temperature	age	discoverymethod	discoveryyear	lastupdate	system_rightascension	system_declination	system_distance	hoststar_mass	hoststar_radius	hoststar_metallicity	hoststar_temperature	hoststar_age	list
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Controversial
	0																							Controversial
	0																							Controversial
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Controversial
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	2																							Confirmed planets, Planets in binary systems, S-type
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	1																							Confirmed planets, Planets in binary systems, P-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets, Planets in open clusters
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Controversial
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Controversial
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Controversial
	0																							Controversial
	0																							Controversial
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	1																							Confirmed planets, Planets in binary systems, P-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Controversial
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Controversial, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	1																							Confirmed planets, Planets in binary systems, P-type
	1																							Confirmed planets, Planets in binary systems, P-type
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	2																							Confirmed planets, Planets in binary systems, S-type
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Kepler Objects of Interest
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	1																							Confirmed planets, Planets in binary systems, P-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	2																							Confirmed planets, Planets in binary systems, S-type
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Kepler Objects of Interest
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
	0																							Confirmed planets
